RANK,NAME,BIRTH_YEAR,MIDLIFE_YEAR,DEATH_YEAR,NATIONALITY,IMPORTANCE,PERIOD,WEIGHT,NUMBER_COMPOSITIONS,ID,ALPHABETICAL_RANK,SHORT_NAME_ACCENTS,Period Name,Period_Agg_Name,Period_Agg,PERIOD_0_1,PERIOD_AGG_0_1,PERIOD_AGG_Colour,NAME_no_white_space,Single_NATIONALITY,Agg_Nationality,Agg_Nationality_Colour,Unique_Style,Unique_Style_colour,Sex_Race
91, Delius,1862,1898,1934,British,3,9,2.207186429,9,207,129,Delius,Late_Romantic,Romantic,4,0.9,0.8,c,Delius,British,British,hotpink,Late Romantic,deepskyblue,deepskyblue
14, Debussy,1862,1890,1918,French,3,9,3.96850263,22,205,127,Debussy,Late_Romantic,Romantic,4,0.9,0.8,c,Debussy,French,French,b,Impressionist,blue,deepskyblue
399, Pierne,1863,1900,1937,French,0,9,1.356079682,3,433,377,Pierné,Late_Romantic,Romantic,4,0.9,0.8,c,Pierne,French,French,b,Late Romantic,deepskyblue,deepskyblue
90, Mascagni,1863,1904,1945,Italian,3,9,2.21515468,2,374,313,Mascagni,Late_Romantic,Romantic,4,0.9,0.8,c,Mascagni,Italian,Italian,m,Late Romantic,deepskyblue,deepskyblue
400, Gretchaninov,1864,1910,1956,Russian-French-American,0,9,1.354954304,0,270,198,Gretchaninov,Late_Romantic,Romantic,4,0.9,0.8,c,Gretchaninov,Russian,Russian,c,Late Romantic,deepskyblue,deepskyblue
18," Strauss, R",1864,1907,1949,German,4,9,3.684031499,20,523,472,"Strauss, R",Late_Romantic,Romantic,4,0.9,0.8,c,"Strauss, R",German,German,yellowgreen,Late Romantic,deepskyblue,deepskyblue
197, Dukas,1865,1900,1935,French,1,9,1.712835444,5,216,138,Dukas,Late_Romantic,Romantic,4,0.9,0.8,c,Dukas,French,French,b,Late Romantic,deepskyblue,deepskyblue
36, Sibelius,1865,1911,1957,Finnish,4,9,2.974441746,16,504,455,Sibelius,Late_Romantic,Romantic,4,0.9,0.8,c,Sibelius,Finnish,North_European,deepskyblue,Late Romantic,deepskyblue,deepskyblue
84, Nielsen,1865,1898,1931,Danish,3,9,2.265516257,12,404,346,Nielsen,Late_Romantic,Romantic,4,0.9,0.8,c,Nielsen,Danish,North_European,deepskyblue,Late Romantic,deepskyblue,deepskyblue
121, Glazunov,1865,1901,1936,Russian,4,9,2.010781879,6,258,185,Glazunov,Late_Romantic,Romantic,4,0.9,0.8,c,Glazunov,Russian,Russian,c,Late Romantic,deepskyblue,deepskyblue
